EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationField,Education,BusinessTravel,DistanceFromHome,MonthlyIncome,PercentSalaryHike,StockOptionLevel,OverTime,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,JobInvolvement,JobLevel,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
1001,30,Female,Married,Research & Development,Laboratory Technician,Technical Degree,5,Travel_Rarely,11,6565,15,0,Yes,3,4,1,1,3,4,3,4,22,0,1,1,2,1,Yes
1002,48,Male,Divorced,Human Resources,Manager,Human Resources,5,Non-Travel,29,16369,21,2,No,3,1,2,3,3,3,1,8,30,4,30,17,10,12,No
1003,58,Female,Married,Research & Development,Healthcare Representative,Technical Degree,3,Travel_Rarely,17,2589,16,1,Yes,1,3,2,1,3,3,5,7,11,4,2,2,1,2,Yes
1004,28,Male,Divorced,Research & Development,Research Scientist,Technical Degree,5,Travel_Rarely,26,1159,22,0,No,1,4,3,1,3,2,1,1,23,6,7,0,1,0,Yes
1005,21,Male,Divorced,Sales,Sales Executive,Life Sciences,2,Travel_Rarely,24,13145,23,3,No,2,3,1,2,3,4,1,6,12,6,3,3,2,3,Yes
1006,51,Male,Divorced,Sales,Sales Representative,Marketing,5,Travel_Frequently,25,16373,14,0,No,2,2,3,4,4,4,2,6,14,3,14,14,3,14,No
1007,55,Female,Single,Sales,Sales Representative,Technical Degree,2,Travel_Rarely,23,7555,12,2,Yes,2,4,2,1,3,3,4,0,30,1,30,18,11,2,Yes
1008,21,Male,Divorced,Research & Development,Laboratory Technician,Marketing,1,Travel_Frequently,24,17237,16,2,No,2,3,4,2,3,1,5,0,37,4,3,3,4,1,No
1009,55,Female,Single,Research & Development,Research Scientist,Marketing,5,Travel_Rarely,20,10203,23,0,No,1,1,4,3,4,3,1,3,38,5,37,7,8,5,No
1010,36,Male,Divorced,Research & Development,Research Scientist,Life Sciences,2,Travel_Rarely,16,9244,15,0,No,4,4,2,2,3,3,3,4,7,2,1,1,2,1,Yes
1011,23,Female,Married,Sales,Sales Executive,Other,4,Travel_Rarely,20,15743,13,3,No,2,3,3,2,3,4,2,3,25,2,5,5,0,2,Yes
1012,51,Female,Single,Human Resources,Manager,Marketing,3,Travel_Rarely,13,14333,14,3,No,4,4,4,4,3,2,4,6,33,2,6,6,7,0,No
1013,35,Male,Single,Research & Development,Healthcare Representative,Technical Degree,2,Travel_Rarely,2,14341,13,1,No,2,4,2,1,3,3,4,2,17,6,17,14,14,10,No
1014,30,Male,Single,Sales,Manager,Other,5,Travel_Rarely,24,19691,13,1,No,3,2,1,3,3,1,2,6,12,5,12,12,11,12,No
1015,58,Female,Married,Sales,Sales Executive,Other,5,Travel_Rarely,27,2228,14,3,No,2,2,3,2,3,1,1,7,34,0,34,3,4,4,No
1016,40,Male,Single,Sales,Sales Executive,Medical,1,Travel_Frequently,2,6590,12,1,No,2,1,3,1,3,3,2,5,22,5,22,7,6,17,No
1017,36,Male,Married,Sales,Sales Executive,Technical Degree,4,Travel_Rarely,25,6585,14,1,Yes,2,2,4,1,3,1,4,5,9,0,9,9,10,9,No
1018,28,Male,Divorced,Research & Development,Laboratory Technician,Technical Degree,2,Travel_Rarely,14,10227,20,0,No,1,2,3,2,3,1,4,7,24,2,10,10,3,10,No
